,HY_id,HY_tipo,HY_metros_totales,HY_num_banos,HY_num_terrazas,HY_trastero,HY_num_garajes,HY_precio,% Descuento,IDEA_area,IDEA_poblacion,IDEA_densidad,IDEA_pc_1960,IDEA_pc_1960_69,IDEA_pc_1970_79,IDEA_pc_1980_89,IDEA_pc_1990_99,IDEA_pc_2000_10,IDEA_pc_comercio,IDEA_pc_industria,IDEA_pc_oficina,IDEA_pc_otros,IDEA_pc_residencial,IDEA_pc_trast_parking,IDEA_ind_tienda,IDEA_ind_turismo,IDEA_ind_alimentacion,IDEA_ind_riqueza,IDEA_rent_alquiler,IDEA_ind_elasticidad,IDEA_ind_liquidez,IDEA_unitprice_sale_residential,IDEA_price_sale_residential,IDEA_stock_sale_residential,IDEA_demand_sale_residential,IDEA_unitprice_rent_residential,IDEA_price_rent_residential,IDEA_stock_rent_residential,IDEA_demand_rent_residential,GA_page_views,GA_mean_bounce,GA_exit_rate,TARGET,num_images,image_brightness,piscina,has_image,descr_len,has_description,active_week,indicador_demanda_zona,diff_precio_zona
35,6028640,Chalet,197.05,2,0,0,0,82400.0,-18.5,8178.94,11540.0,1.41,0.24,0.24,0.11,0.1,0.09,0.21,0.01,0.0,0.0,0.02,0.55,0.41,0.5,0.25,0.25,0.16,4.89,1.0,0.0,522.47,71767.93,906.0,47.98,3.06,350.0,9.0,51.84,68,3.97,23.51,109.74,10.0,0.5036805010893246,0,1,948.0,1,43,99.82,-0.9941733309338775
36,6028645,Piso,114.2,1,0,1,0,74400.0,-10.68,460.69,17455.0,37.89,0.17,0.17,0.15,0.05,0.14,0.32,0.02,0.01,0.0,0.01,0.47,0.5,0.14,0.57,0.29,0.11,6.6,3.0,0.0,741.41,75059.38,795.0,48.55,5.88,491.06,12.0,51.49,374,21.21,10.86,77.37,5.0,0.5140095860566449,0,1,775.0,1,37,100.03999999999999,-0.9913203570764594
37,6028649,Casa de pueblo,227.16,1,2,0,0,74200.0,0.0,54446.77,20644.0,0.38,0.15,0.15,0.15,0.16,0.16,0.23,0.03,0.01,0.0,0.02,0.52,0.41,0.0,0.47,0.53,0.14,3.68,2.25,0.6,690.17,105352.13,768.0,48.77,2.88,408.67,54.0,49.91,689,26.42,11.37,37.23,6.0,0.5235697167755992,0,1,903.0,1,46,98.68,-0.9968995214957765
38,6028651,Piso,61.84,1,0,0,1,47400.0,-9.2,1322.09,3183.0,2.41,0.07,0.07,0.06,0.06,0.15,0.59,0.01,0.01,0.01,0.05,0.45,0.47,0.0,0.0,0.0,0.09,5.14,1.5,0.0,602.07,88864.94,996.0,46.92,2.84,353.57,12.0,49.85,911,12.43,11.47,43.31,8.0,0.4525426198257081,0,1,716.0,1,46,96.77000000000001,-0.991374616597668
39,6028652,Piso,72.6,2,0,1,1,51800.0,-9.120000000000001,1322.09,3183.0,2.41,0.07,0.07,0.06,0.06,0.15,0.59,0.01,0.01,0.01,0.05,0.45,0.47,0.0,0.0,0.0,0.09,5.14,1.5,0.0,602.07,88864.94,996.0,46.92,2.84,353.57,12.0,49.85,210,11.11,10.4,33.94,9.0,0.4459452916969257,0,1,1172.0,1,45,96.77000000000001,-0.9919709772764205
40,6028653,Piso,59.27,1,0,1,1,42800.0,-9.13,1322.09,3183.0,2.41,0.07,0.07,0.06,0.06,0.15,0.59,0.01,0.01,0.01,0.05,0.45,0.47,0.0,0.0,0.0,0.09,5.14,1.5,0.0,602.07,88864.94,996.0,46.92,2.84,353.57,12.0,49.85,58,0.0,11.27,149.85,9.0,0.4459452916969257,0,1,1168.0,1,43,96.77000000000001,-0.9918739705905361
41,6028655,Piso,100.26,2,0,1,1,71800.0,-9.11,1322.09,3183.0,2.41,0.07,0.07,0.06,0.06,0.15,0.59,0.01,0.01,0.01,0.05,0.45,0.47,0.0,0.0,0.0,0.09,5.14,1.5,0.0,602.07,88864.94,996.0,46.92,2.84,353.57,12.0,49.85,48,12.0,14.8,77.75,9.0,0.4459452916969257,0,1,1167.0,1,44,96.77000000000001,-0.9919412758159387
42,6028656,Piso,86.84,1,0,1,1,65400.0,-9.17,1322.09,3183.0,2.41,0.07,0.07,0.06,0.06,0.15,0.59,0.01,0.01,0.01,0.05,0.45,0.47,0.0,0.0,0.0,0.09,5.14,1.5,0.0,602.07,88864.94,996.0,46.92,2.84,353.57,12.0,49.85,35,0.0,1.74,12.88,9.0,0.4459452916969257,0,1,1166.0,1,37,96.77000000000001,-0.991525238566719
43,6028657,Piso,79.53,1,0,0,0,64900.0,-6.21,7888.37,2896.0,0.37,0.25,0.25,0.05,0.06,0.08,0.31,0.01,0.0,0.0,0.02,0.67,0.3,0.5,0.0,0.5,0.13,4.18,1.0,1.0,966.7,137836.92,558.0,48.75,7.95,450.07,21.0,50.86,1475,33.65,26.14,69.75,8.0,0.4444998638344225,1,1,1137.0,1,45,99.61,-0.9940796394752025
44,6028664,Garaje,24.04,0,0,0,0,11000.0,0.0,748.63,4091.0,5.46,0.0,0.0,0.29,0.22,0.17,0.32,0.0,0.02,0.0,0.25,0.55,0.18,0.39,0.18,0.43,0.46,4.42,3.0,0.0,2098.91,304068.71,3048.0,48.31,7.2,1575.0,162.0,51.63,309,47.97,35.52,56.11,5.0,0.4846960784313726,0,1,523.0,1,32,99.94,-0.9984951732933185
45,6028682,Piso,121.43,2,0,0,0,59000.0,-35.160000000000004,15224.04,12183.0,0.8,0.21,0.21,0.21,0.16,0.06,0.15,0.02,0.02,0.01,0.08,0.51,0.37,0.56,0.0,0.44,0.14,5.35,1.0,0.0,687.39,89623.87,666.0,48.77,3.67,446.43,24.0,51.31,314,14.1,22.63,76.74,10.0,0.4555791938997821,0,1,641.0,1,41,100.08000000000001,-0.9945787139436687
46,6028683,Piso,121.43,2,0,0,0,59000.0,-35.160000000000004,15224.04,12183.0,0.8,0.21,0.21,0.21,0.16,0.06,0.15,0.02,0.02,0.01,0.08,0.51,0.37,0.56,0.0,0.44,0.14,5.35,1.0,0.0,687.39,89623.87,666.0,48.77,3.67,446.43,24.0,51.31,83,12.5,23.68,177.93,7.0,0.5069570494864614,0,1,641.0,1,24,100.08000000000001,-0.9945787139436687
47,6028708,Solar,433.05,0,0,0,0,228000.0,-39.33,584.93,6119.0,10.46,0.04,0.04,0.19,0.1,0.11,0.53,0.02,0.0,0.01,0.03,0.47,0.47,0.33,0.25,0.42,0.1,6.51,2.5,0.0,914.65,144646.88,780.0,50.17,4.57,653.12,75.0,50.71,115,8.97,25.31,51.58,4.0,0.6774656862745099,0,1,119.0,1,46,100.88,-0.9963601144047615
48,6028910,Solar,99.0,0,0,0,0,0.0,0.0,20141.99,4796.0,0.24,0.05,0.05,0.13,0.16,0.16,0.45,0.01,0.0,0.0,0.1,0.52,0.36,0.29,0.47,0.24,0.18,5.17,1.33333333333333,0.0,884.05,126417.65,1827.0,50.06,3.81,537.05,147.0,51.59,241,15.28,18.2,92.82,4.0,0.5790680827886711,0,1,929.0,1,46,101.65,-1.0
49,6028916,Trastero,4.03,0,0,0,0,1600.0,0.0,1234.1,2493.0,2.02,0.0,0.0,0.0,0.0,0.11,0.89,0.01,0.0,0.0,0.03,0.49,0.48,0.0,0.0,0.0,0.14,5.55,1.0,-1.0,960.83,181525.88,1470.0,49.24,4.42,620.09,150.0,51.11,20,12.5,14.06,38.63,4.0,0.5201693899782135,0,1,252.0,1,33,100.35,-0.9978128609953236
50,6028917,Trastero,3.75,0,0,0,0,1400.0,0.0,1304.08,8367.0,4.26,0.01,0.01,0.1,0.14,0.18,0.46,0.02,0.0,0.0,0.03,0.54,0.39,0.23,0.26,0.2,0.14,5.31,3.0,0.0,933.06,116817.69,999.0,49.21,4.59,447.69,45.0,51.4,4,0.0,0.0,15.75,4.0,0.5201693899782135,0,1,252.0,1,4,0.0,-0.9968041369989996
51,6028926,Garaje,26.74,0,0,0,0,6400.0,0.0,460.08,17800.0,38.69,0.0,0.0,0.05,0.18,0.18,0.58,0.04,0.0,0.0,0.03,0.54,0.39,0.35,0.59,0.06,0.1,5.46,3.0,0.0,964.07,125045.47,3168.0,49.55,5.29,403.4,255.0,51.59,72,0.0,2.79,17.03,4.0,0.5856307189542485,0,1,180.0,1,44,101.14,-0.9980859617703669
52,6028927,Garaje,34.16,0,0,0,0,7400.0,0.0,1304.08,8367.0,4.26,0.01,0.01,0.1,0.14,0.18,0.46,0.02,0.0,0.0,0.03,0.54,0.39,0.23,0.26,0.2,0.14,5.31,3.0,0.0,933.06,116817.69,999.0,49.21,4.59,447.69,45.0,51.4,11,20.0,20.0,69.2,4.0,0.5856307189542485,0,1,180.0,1,26,0.0,-0.9981455922073067
53,6028928,Piso,89.67,2,0,0,0,107000.0,-9.32,460.08,17800.0,38.69,0.0,0.0,0.05,0.18,0.18,0.58,0.04,0.0,0.0,0.03,0.54,0.39,0.35,0.59,0.06,0.1,5.46,3.0,0.0,964.07,125045.47,3168.0,49.55,5.29,403.4,255.0,51.59,332,8.15,7.76,30.04,7.0,0.5945158730158732,0,1,856.0,1,46,101.14,-0.9904573577041833
54,6028929,Piso,121.35,2,0,0,0,109000.0,-9.17,460.08,17800.0,38.69,0.0,0.0,0.05,0.18,0.18,0.58,0.04,0.0,0.0,0.03,0.54,0.39,0.35,0.59,0.06,0.1,5.46,3.0,0.0,964.07,125045.47,3168.0,49.55,5.29,403.4,255.0,51.59,153,10.53,10.79,71.35,7.0,0.5945158730158732,0,1,857.0,1,44,101.14,-0.9928167868428327
55,6028930,Piso,89.67,2,0,0,0,107000.0,-9.32,460.08,17800.0,38.69,0.0,0.0,0.05,0.18,0.18,0.58,0.04,0.0,0.0,0.03,0.54,0.39,0.35,0.59,0.06,0.1,5.46,3.0,0.0,964.07,125045.47,3168.0,49.55,5.29,403.4,255.0,51.59,21,9.09,12.12,34.49,7.0,0.5945158730158732,0,1,856.0,1,38,101.14,-0.9904573577041833
56,6028931,Piso,118.03,2,0,0,0,149000.0,-9.15,460.08,17800.0,38.69,0.0,0.0,0.05,0.18,0.18,0.58,0.04,0.0,0.0,0.03,0.54,0.39,0.35,0.59,0.06,0.1,5.46,3.0,0.0,964.07,125045.47,3168.0,49.55,5.29,403.4,255.0,51.59,101,32.35,29.25,64.75,7.0,0.5945158730158732,0,1,859.0,1,45,101.14,-0.9899045449822106
57,6028932,Garaje,12.12,0,0,0,0,7600.0,0.0,1234.1,2493.0,2.02,0.0,0.0,0.0,0.0,0.11,0.89,0.01,0.0,0.0,0.03,0.49,0.48,0.0,0.0,0.0,0.14,5.55,1.0,-1.0,960.83,181525.88,1470.0,49.24,4.42,620.09,150.0,51.11,30,6.25,16.04,45.6,6.0,0.4249337327523602,0,1,380.0,1,35,100.35,-0.9965456016174078
58,6028940,Garaje,58.0,0,0,0,0,12800.0,0.0,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,3.0,-1.0,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,87,32.35,19.79,25.87,2.0,0.4113213507625272,0,1,143.0,1,45,101.64,-0.9972491946920752
59,6028941,Garaje,49.92,0,0,0,0,9800.0,0.0,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,3.0,-1.0,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,23,14.29,14.29,25.45,2.0,0.4113213507625272,0,1,143.0,1,44,101.64,-0.997553025877303
60,6028943,Piso,66.18,1,0,0,1,64700.0,-9.13,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,3.0,-1.0,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,67,0.0,15.86,56.7,7.0,0.4457838468720822,0,1,879.0,1,42,101.64,-0.9878141621353244
