,HY_metros_totales,HY_num_banos,HY_num_terrazas,HY_trastero,HY_num_garajes,HY_precio,% Descuento,IDEA_area,IDEA_poblacion,IDEA_densidad,IDEA_pc_1960,IDEA_pc_1960_69,IDEA_pc_1970_79,IDEA_pc_1980_89,IDEA_pc_1990_99,IDEA_pc_2000_10,IDEA_pc_comercio,IDEA_pc_industria,IDEA_pc_oficina,IDEA_pc_otros,IDEA_pc_residencial,IDEA_pc_trast_parking,IDEA_ind_tienda,IDEA_ind_turismo,IDEA_ind_alimentacion,IDEA_ind_riqueza,IDEA_rent_alquiler,IDEA_ind_elasticidad,IDEA_ind_liquidez,IDEA_unitprice_sale_residential,IDEA_price_sale_residential,IDEA_stock_sale_residential,IDEA_demand_sale_residential,IDEA_unitprice_rent_residential,IDEA_price_rent_residential,IDEA_stock_rent_residential,IDEA_demand_rent_residential,GA_page_views,GA_mean_bounce,GA_exit_rate,TARGET,num_images,image_brightness,piscina,has_image,Num_anun_pro,Num_anunciosCP,im_size,bordes,descr_len,has_description,active_week,indicador_demanda_zona,diff_precio_zona,HY_tipo_Almacén,HY_tipo_Casa de pueblo,HY_tipo_Chalet,HY_tipo_Garaje,HY_tipo_Local,HY_tipo_Nave,HY_tipo_Oficina,HY_tipo_Otro,HY_tipo_Piso,HY_tipo_Solar,HY_tipo_Trastero
10,29.0,0,0,0,0,7000.0,-18.6,1659.27,1908.0,1.15,0.02,0.02,0.24,0.14,0.26,0.32,0.01,0.01,0.01,0.07,0.5,0.41,0.0,1.0,0.0,0.17,4.54,2.5,0.0,1233.44,159396.88,552.0,49.08,4.5,325.0,27.0,52.01,30,30.0,41.0,74.76,1.0,0.4642941176470588,0,1,1347.0,29,167608.0,1204.0,138.0,1,43,101.09,-0.9984856710473577,0,0,0,1,0,0,0,0,0,0,0
11,29.0,0,0,0,0,7800.0,-18.75,1659.27,1908.0,1.15,0.02,0.02,0.24,0.14,0.26,0.32,0.01,0.01,0.01,0.07,0.5,0.41,0.0,1.0,0.0,0.17,4.54,2.5,0.0,1233.44,159396.88,552.0,49.08,4.5,325.0,27.0,52.01,21,0.0,21.43,148.31,1.0,0.4642941176470588,0,1,1347.0,29,167608.0,1204.0,138.0,1,45,101.09,-0.9983126048813415,0,0,0,1,0,0,0,0,0,0,0
12,29.0,0,0,0,0,7800.0,-18.75,1659.27,1908.0,1.15,0.02,0.02,0.24,0.14,0.26,0.32,0.01,0.01,0.01,0.07,0.5,0.41,0.0,1.0,0.0,0.17,4.54,2.5,0.0,1233.44,159396.88,552.0,49.08,4.5,325.0,27.0,52.01,10,0.0,25.0,19.31,1.0,0.4642941176470588,0,1,1347.0,29,167608.0,1204.0,138.0,1,41,101.09,-0.9983126048813415,0,0,0,1,0,0,0,0,0,0,0
13,29.0,0,0,0,0,7800.0,-18.75,1659.27,1908.0,1.15,0.02,0.02,0.24,0.14,0.26,0.32,0.01,0.01,0.01,0.07,0.5,0.41,0.0,1.0,0.0,0.17,4.54,2.5,0.0,1233.44,159396.88,552.0,49.08,4.5,325.0,27.0,52.01,15,5.0,11.67,178.05,2.0,0.4776279956427015,0,1,1347.0,29,118304.0,1002.0,138.0,1,36,101.09,-0.9983126048813415,0,0,0,1,0,0,0,0,0,0,0
14,109.0,1,1,0,0,61900.0,-41.6,1584.15,1572.0,0.99,0.24,0.24,0.11,0.08,0.1,0.22,0.02,0.0,0.0,0.04,0.62,0.31,0.0,0.0,0.0,0.14,4.63,2.0,0.0,972.55,166656.25,72.0,46.08,6.07,575.0,45.0,48.21,1920,32.8,17.37,64.46,8.0,0.4964933278867102,0,1,534.0,1,212614.0,707.75,1128.0,1,41,94.28999999999999,-0.9965924475784323,0,0,1,0,0,0,0,0,0,0,0
15,528.91,2,0,0,1,265000.0,-9.25,3219.56,5914.0,1.84,0.16,0.16,0.21,0.14,0.11,0.23,0.01,0.01,0.01,0.06,0.45,0.45,0.6,0.2,0.2,0.16,5.02,1.0,0.0,896.68,147339.47,1518.0,49.1,5.43,583.77,54.0,51.05,896,30.94,14.94,71.25,10.0,0.5215514161220044,1,1,2080.0,18,192556.6,720.6,2027.0,1,46,100.15,-0.996599482670498,0,1,0,0,0,0,0,0,0,0,0
16,154.27,2,0,0,0,63700.0,0.0,148.16,828.0,5.59,0.23,0.23,0.06,0.07,0.1,0.32,0.01,0.03,0.02,0.07,0.57,0.3,0.0,0.0,0.0,0.18,5.41,3.0,0.0,596.81,98434.09,87.0,48.1,4.77,557.7,60.0,48.21,671,18.21,10.71,41.41,5.0,0.5477636165577342,0,1,2080.0,16,281692.8,972.0,484.0,1,46,96.31,-0.995805188768793,0,1,0,0,0,0,0,0,0,0,0
17,217.37,2,0,0,1,130000.0,-9.09,1363.7,1413.0,1.04,0.19,0.19,0.1,0.05,0.13,0.33,0.01,0.01,0.0,0.1,0.49,0.39,0.0,0.0,0.0,0.15,4.17,3.0,0.0,724.82,131774.19,465.0,48.95,4.34,525.0,6.0,50.41,677,11.64,14.15,62.55,10.0,0.342302614379085,0,1,2080.0,5,305967.8,541.3,944.0,1,46,99.36,-0.9954614890082516,0,0,1,0,0,0,0,0,0,0,0
18,90.32,1,0,0,0,50900.0,-9.11,305.22,1003.0,3.29,0.28,0.28,0.05,0.06,0.09,0.24,0.01,0.0,0.01,0.07,0.44,0.48,0.0,0.0,0.0,0.1,3.88,3.0,0.0,539.92,102333.29,102.0,48.71,5.25,335.0,6.0,51.79,241,6.52,5.19,45.39,10.0,0.4497838779956427,0,1,2080.0,4,313830.0,580.9,778.0,1,46,100.5,-0.9944929766670634,0,0,0,0,0,0,0,0,1,0,0
19,145.42,2,0,0,0,71100.0,-9.08,728.29,1564.0,2.15,0.15,0.15,0.15,0.14,0.11,0.3,0.02,0.02,0.01,0.05,0.41,0.48,0.5,0.0,0.5,0.1,5.41,1.5,0.0,577.33,124376.93,297.0,48.55,4.77,557.7,60.0,48.21,387,33.44,23.2,88.88,9.0,0.5453710965867828,0,1,2080.0,37,430700.0,537.8888888888888,922.0,1,46,96.75999999999999,-0.9960689766136905,0,0,0,0,0,0,0,0,1,0,0
20,114.7,2,0,1,1,68000.0,-11.799999999999999,414.31,1372.0,3.31,0.27,0.27,0.11,0.14,0.1,0.12,0.01,0.01,0.01,0.05,0.4,0.53,1.0,0.0,0.0,0.12,5.41,2.0,0.0,564.71,84177.27,621.0,48.6,4.77,557.7,60.0,48.21,251,4.55,5.9,81.24,10.0,0.4549041394335512,0,1,2080.0,6,248326.9,551.9,780.0,1,46,96.81,-0.9929571140115193,0,0,0,0,0,0,0,0,1,0,0
21,427.0,1,0,0,1,67600.0,-9.99,6191.48,5928.0,0.96,0.21,0.21,0.16,0.07,0.12,0.23,0.02,0.01,0.01,0.03,0.44,0.49,0.33,0.0,0.67,0.12,5.04,4.5,-1.0,641.38,100072.4,246.0,48.51,3.49,292.0,6.0,53.68,295,13.56,16.65,59.07,5.0,0.5015490196078431,0,1,5.0,1,161370.4,927.6,683.0,1,46,102.19,-0.9984180071894927,0,1,0,0,0,0,0,0,0,0,0
22,167.0,1,0,0,0,83300.0,-9.06,1900.13,501.0,0.26,0.11,0.11,0.06,0.25,0.14,0.33,0.01,0.02,0.0,0.02,0.64,0.31,0.0,0.0,0.0,0.1,5.31,3.0,0.0,483.42,82112.5,12.0,48.21,4.59,447.69,45.0,48.21,288,7.84,13.98,39.15,6.0,0.4069344589687727,0,1,1768.0,2,165331.5,653.8333333333334,811.0,1,46,96.42,-0.9939253780458568,0,1,0,0,0,0,0,0,0,0,0
23,211.0,1,0,0,0,186000.0,0.0,53.44,13140.0,245.86,0.19,0.19,0.28,0.1,0.13,0.12,0.04,0.0,0.02,0.02,0.59,0.33,0.23,0.46,0.31,0.18,3.87,3.5,0.0,1324.6,174982.81,1575.0,49.58,6.49,578.96,270.0,51.4,129,8.33,26.94,65.4,8.0,0.37534300108932456,0,1,1768.0,13,107308.625,609.0,869.0,1,45,100.97999999999999,-0.9949622675068612,0,0,0,0,0,0,0,0,1,0,0
24,137.6,1,0,0,0,180000.0,0.0,53.44,13140.0,245.86,0.19,0.19,0.28,0.1,0.13,0.12,0.04,0.0,0.02,0.02,0.59,0.33,0.23,0.46,0.31,0.18,3.87,3.5,0.0,1324.6,174982.81,1575.0,49.58,6.49,578.96,270.0,51.4,94,0.0,10.95,36.38,7.0,0.39321802054155,0,1,1768.0,13,110864.28571428572,557.4285714285714,869.0,1,46,100.97999999999999,-0.9925241826046586,0,0,0,0,0,0,0,0,1,0,0
25,199.4,1,0,0,0,127000.0,-3.05,487.59,626.0,1.28,0.14,0.14,0.05,0.06,0.24,0.37,0.0,0.0,0.0,0.2,0.54,0.25,0.0,0.0,1.0,0.31,2.5,3.0,0.0,930.14,158143.75,126.0,49.58,4.24,617.0,12.0,53.8,107,9.38,9.11,60.42,10.0,0.4923557734204793,0,1,794.0,2,293760.0,742.5,649.0,1,44,103.38,-0.9959725836007014,0,0,1,0,0,0,0,0,0,0,0
26,90.45,1,0,0,0,84400.0,-3.2099999999999995,101.41,4622.0,45.58,0.01,0.01,0.07,0.14,0.12,0.65,0.01,0.0,0.0,0.06,0.49,0.44,0.8,0.2,0.0,0.17,3.19,3.0,0.0,1467.64,175983.61,504.0,49.4,4.36,360.62,120.0,51.28,1744,48.78,30.98,102.33,10.0,0.4395598039215686,0,1,1347.0,20,383100.0,562.1,1176.0,1,46,100.68,-0.9946977322678271,0,0,0,0,0,0,0,0,1,0,0
27,59.05,2,0,0,0,31500.0,-8.959999999999999,1836.86,306.0,0.17,0.32,0.32,0.13,0.08,0.04,0.1,0.01,0.0,0.0,0.04,0.5,0.45,0.4,0.55,0.05,0.08,5.64,2.0,0.0,597.88,56910.9,138.0,48.94,4.57,524.14,60.0,48.21,514,17.0,10.91,71.52,10.0,0.4572015250544663,0,1,1347.0,26,431509.5,598.4,884.0,1,46,97.15,-0.9906266421369759,0,0,0,0,0,0,0,0,1,0,0
28,42.5,1,0,0,0,28200.0,-9.030000000000001,1836.86,306.0,0.17,0.32,0.32,0.13,0.08,0.04,0.1,0.01,0.0,0.0,0.04,0.5,0.45,0.4,0.55,0.05,0.08,5.64,2.0,0.0,597.88,56910.9,138.0,48.94,4.57,524.14,60.0,48.21,159,4.35,7.32,59.7,10.0,0.456471568627451,1,1,1347.0,26,388579.5,688.4,879.0,1,45,97.15,-0.9883409081254257,0,0,0,0,0,0,0,0,1,0,0
29,123.76,2,0,0,0,78300.0,-9.06,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,3.0,-1.0,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,409,20.21,7.96,54.08,10.0,0.5488946623093682,0,1,1768.0,40,231113.8,400.1,1073.0,1,44,101.64,-0.9921139534018658,0,0,0,0,0,0,0,0,1,0,0
30,80.27,1,0,0,0,48800.0,-8.959999999999999,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,3.0,-1.0,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,82,6.25,8.81,65.86,10.0,0.524151633986928,0,1,1768.0,40,315586.0,397.0,1064.0,1,42,101.64,-0.9924221773549914,0,0,0,0,0,0,0,0,1,0,0
31,80.27,1,0,0,0,48400.0,-9.02,1304.08,8367.0,4.26,0.01,0.01,0.1,0.14,0.18,0.46,0.02,0.0,0.0,0.03,0.54,0.39,0.23,0.26,0.2,0.14,5.31,3.0,0.0,933.06,116817.69,999.0,49.21,4.59,447.69,45.0,51.4,12,10.0,10.0,70.95,10.0,0.524151633986928,0,1,1768.0,40,315586.0,397.0,1064.0,1,22,92.93,-0.9948384102343736,0,0,0,0,0,0,0,0,1,0,0
32,80.72,1,0,0,0,60900.0,-8.97,1304.08,8367.0,4.26,0.01,0.01,0.1,0.14,0.18,0.46,0.02,0.0,0.0,0.03,0.54,0.39,0.23,0.26,0.2,0.14,5.31,3.0,0.0,933.06,116817.69,999.0,49.21,4.59,447.69,45.0,51.4,8,0.0,10.0,67.0,10.0,0.5320165577342049,0,1,1768.0,40,278914.6,419.0,1064.0,1,21,92.93,-0.9935415615456121,0,0,0,0,0,0,0,0,1,0,0
33,79.3,1,0,0,0,48600.0,-9.16,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,3.0,-1.0,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,17,7.69,30.77,24.92,10.0,0.5286125272331155,0,1,1768.0,40,278914.6,456.2,1064.0,1,29,101.64,-0.9923609217351256,0,0,0,0,0,0,0,0,1,0,0
34,196.72,2,0,0,0,84100.0,0.0,8178.94,11540.0,1.41,0.24,0.24,0.11,0.1,0.09,0.21,0.01,0.0,0.0,0.02,0.55,0.41,0.5,0.25,0.25,0.16,4.89,1.0,0.0,522.47,71767.93,906.0,47.98,3.06,350.0,9.0,51.84,176,9.72,11.86,68.26,10.0,0.5108480392156862,0,1,1516.0,27,319797.7,462.2,948.0,1,46,99.82,-0.9940431445715672,0,0,1,0,0,0,0,0,0,0,0
35,197.05,2,0,0,0,82400.0,-18.5,8178.94,11540.0,1.41,0.24,0.24,0.11,0.1,0.09,0.21,0.01,0.0,0.0,0.02,0.55,0.41,0.5,0.25,0.25,0.16,4.89,1.0,0.0,522.47,71767.93,906.0,47.98,3.06,350.0,9.0,51.84,68,3.97,23.51,109.74,10.0,0.5036805010893246,0,1,1516.0,27,300921.1,486.7,948.0,1,43,99.82,-0.9941733309338775,0,0,1,0,0,0,0,0,0,0,0
36,114.2,1,0,1,0,74400.0,-10.68,460.69,17455.0,37.89,0.17,0.17,0.15,0.05,0.14,0.32,0.02,0.01,0.0,0.01,0.47,0.5,0.14,0.57,0.29,0.11,6.6,3.0,0.0,741.41,75059.38,795.0,48.55,5.88,491.06,12.0,51.49,374,21.21,10.86,77.37,5.0,0.5140095860566449,0,1,1516.0,19,102291.4,723.0,775.0,1,37,100.03999999999999,-0.9913203570764594,0,0,0,0,0,0,0,0,1,0,0
37,227.16,1,2,0,0,74200.0,0.0,54446.77,20644.0,0.38,0.15,0.15,0.15,0.16,0.16,0.23,0.03,0.01,0.0,0.02,0.52,0.41,0.0,0.47,0.53,0.14,3.68,2.25,0.6,690.17,105352.13,768.0,48.77,2.88,408.67,54.0,49.91,689,26.42,11.37,37.23,6.0,0.5235697167755992,0,1,384.0,2,226797.5,644.3333333333334,903.0,1,46,98.68,-0.9968995214957765,0,1,0,0,0,0,0,0,0,0,0
38,61.84,1,0,0,1,47400.0,-9.2,1322.09,3183.0,2.41,0.07,0.07,0.06,0.06,0.15,0.59,0.01,0.01,0.01,0.05,0.45,0.47,0.0,0.0,0.0,0.09,5.14,1.5,0.0,602.07,88864.94,996.0,46.92,2.84,353.57,12.0,49.85,911,12.43,11.47,43.31,8.0,0.4525426198257081,0,1,384.0,55,201372.0,558.5,716.0,1,46,96.77000000000001,-0.991374616597668,0,0,0,0,0,0,0,0,1,0,0
39,72.6,2,0,1,1,51800.0,-9.120000000000001,1322.09,3183.0,2.41,0.07,0.07,0.06,0.06,0.15,0.59,0.01,0.01,0.01,0.05,0.45,0.47,0.0,0.0,0.0,0.09,5.14,1.5,0.0,602.07,88864.94,996.0,46.92,2.84,353.57,12.0,49.85,210,11.11,10.4,33.94,9.0,0.4459452916969257,0,1,384.0,55,190464.44444444447,572.6666666666666,1172.0,1,45,96.77000000000001,-0.9919709772764205,0,0,0,0,0,0,0,0,1,0,0
40,59.27,1,0,1,1,42800.0,-9.13,1322.09,3183.0,2.41,0.07,0.07,0.06,0.06,0.15,0.59,0.01,0.01,0.01,0.05,0.45,0.47,0.0,0.0,0.0,0.09,5.14,1.5,0.0,602.07,88864.94,996.0,46.92,2.84,353.57,12.0,49.85,58,0.0,11.27,149.85,9.0,0.4459452916969257,0,1,384.0,55,190464.44444444447,572.6666666666666,1168.0,1,43,96.77000000000001,-0.9918739705905361,0,0,0,0,0,0,0,0,1,0,0
41,100.26,2,0,1,1,71800.0,-9.11,1322.09,3183.0,2.41,0.07,0.07,0.06,0.06,0.15,0.59,0.01,0.01,0.01,0.05,0.45,0.47,0.0,0.0,0.0,0.09,5.14,1.5,0.0,602.07,88864.94,996.0,46.92,2.84,353.57,12.0,49.85,48,12.0,14.8,77.75,9.0,0.4459452916969257,0,1,384.0,55,190464.44444444447,572.6666666666666,1167.0,1,44,96.77000000000001,-0.9919412758159387,0,0,0,0,0,0,0,0,1,0,0
42,86.84,1,0,1,1,65400.0,-9.17,1322.09,3183.0,2.41,0.07,0.07,0.06,0.06,0.15,0.59,0.01,0.01,0.01,0.05,0.45,0.47,0.0,0.0,0.0,0.09,5.14,1.5,0.0,602.07,88864.94,996.0,46.92,2.84,353.57,12.0,49.85,35,0.0,1.74,12.88,9.0,0.4459452916969257,0,1,384.0,55,190464.44444444447,572.6666666666666,1166.0,1,37,96.77000000000001,-0.991525238566719,0,0,0,0,0,0,0,0,1,0,0
43,79.53,1,0,0,0,64900.0,-6.21,7888.37,2896.0,0.37,0.25,0.25,0.05,0.06,0.08,0.31,0.01,0.0,0.0,0.02,0.67,0.3,0.5,0.0,0.5,0.13,4.18,1.0,1.0,966.7,137836.92,558.0,48.75,7.95,450.07,21.0,50.86,1475,33.65,26.14,69.75,8.0,0.4444998638344225,1,1,384.0,7,191552.25,796.0,1137.0,1,45,99.61,-0.9940796394752025,0,0,0,0,0,0,0,0,1,0,0
44,24.04,0,0,0,0,11000.0,0.0,748.63,4091.0,5.46,0.0,0.0,0.29,0.22,0.17,0.32,0.0,0.02,0.0,0.25,0.55,0.18,0.39,0.18,0.43,0.46,4.42,3.0,0.0,2098.91,304068.71,3048.0,48.31,7.2,1575.0,162.0,51.63,309,47.97,35.52,56.11,5.0,0.4846960784313726,0,1,794.0,22,213292.8,676.2,523.0,1,32,99.94,-0.9984951732933185,0,0,0,1,0,0,0,0,0,0,0
45,121.43,2,0,0,0,59000.0,-35.160000000000004,15224.04,12183.0,0.8,0.21,0.21,0.21,0.16,0.06,0.15,0.02,0.02,0.01,0.08,0.51,0.37,0.56,0.0,0.44,0.14,5.35,1.0,0.0,687.39,89623.87,666.0,48.77,3.67,446.43,24.0,51.31,314,14.1,22.63,76.74,10.0,0.4555791938997821,0,1,794.0,10,332670.7,472.6,641.0,1,41,100.08000000000001,-0.9945787139436687,0,0,0,0,0,0,0,0,1,0,0
46,121.43,2,0,0,0,59000.0,-35.160000000000004,15224.04,12183.0,0.8,0.21,0.21,0.21,0.16,0.06,0.15,0.02,0.02,0.01,0.08,0.51,0.37,0.56,0.0,0.44,0.14,5.35,1.0,0.0,687.39,89623.87,666.0,48.77,3.67,446.43,24.0,51.31,83,12.5,23.68,177.93,7.0,0.5069570494864614,0,1,794.0,10,287368.4285714286,485.4285714285714,641.0,1,24,100.08000000000001,-0.9945787139436687,0,0,0,0,0,0,0,0,1,0,0
47,433.05,0,0,0,0,228000.0,-39.33,584.93,6119.0,10.46,0.04,0.04,0.19,0.1,0.11,0.53,0.02,0.0,0.01,0.03,0.47,0.47,0.33,0.25,0.42,0.1,6.51,2.5,0.0,914.65,144646.88,780.0,50.17,4.57,653.12,75.0,50.71,115,8.97,25.31,51.58,4.0,0.6774656862745099,0,1,1347.0,120,197177.75,949.25,119.0,1,46,100.88,-0.9963601144047615,0,0,0,0,0,0,0,0,0,1,0
48,99.0,0,0,0,0,0.0,0.0,20141.99,4796.0,0.24,0.05,0.05,0.13,0.16,0.16,0.45,0.01,0.0,0.0,0.1,0.52,0.36,0.29,0.47,0.24,0.18,5.17,1.33333333333333,0.0,884.05,126417.65,1827.0,50.06,3.81,537.05,147.0,51.59,241,15.28,18.2,92.82,4.0,0.5790680827886711,0,1,1.0,1,153945.0,902.5,929.0,1,46,101.65,-1.0,0,0,0,0,0,0,0,0,0,1,0
49,4.03,0,0,0,0,1600.0,0.0,1234.1,2493.0,2.02,0.0,0.0,0.0,0.0,0.11,0.89,0.01,0.0,0.0,0.03,0.49,0.48,0.0,0.0,0.0,0.14,5.55,1.0,-1.0,960.83,181525.88,1470.0,49.24,4.42,620.09,150.0,51.11,20,12.5,14.06,38.63,4.0,0.5201693899782135,0,1,1768.0,164,313532.25,481.5,252.0,1,33,100.35,-0.9978128609953236,0,0,0,0,0,0,0,0,0,0,1
50,3.75,0,0,0,0,1400.0,0.0,1304.08,8367.0,4.26,0.01,0.01,0.1,0.14,0.18,0.46,0.02,0.0,0.0,0.03,0.54,0.39,0.23,0.26,0.2,0.14,5.31,3.0,0.0,933.06,116817.69,999.0,49.21,4.59,447.69,45.0,51.4,4,0.0,0.0,15.75,4.0,0.5201693899782135,0,1,1768.0,164,313532.25,481.5,252.0,1,4,92.93,-0.9968041369989996,0,0,0,0,0,0,0,0,0,0,1
51,26.74,0,0,0,0,6400.0,0.0,460.08,17800.0,38.69,0.0,0.0,0.05,0.18,0.18,0.58,0.04,0.0,0.0,0.03,0.54,0.39,0.35,0.59,0.06,0.1,5.46,3.0,0.0,964.07,125045.47,3168.0,49.55,5.29,403.4,255.0,51.59,72,0.0,2.79,17.03,4.0,0.5856307189542485,0,1,1768.0,243,262217.5,641.75,180.0,1,44,101.14,-0.9980859617703669,0,0,0,1,0,0,0,0,0,0,0
