,HY_id,HY_tipo,HY_metros_totales,HY_num_banos,HY_num_terrazas,HY_trastero,HY_num_garajes,HY_precio,% Descuento,IDEA_area,IDEA_poblacion,IDEA_densidad,IDEA_pc_1960,IDEA_pc_1960_69,IDEA_pc_1970_79,IDEA_pc_1980_89,IDEA_pc_1990_99,IDEA_pc_2000_10,IDEA_pc_comercio,IDEA_pc_industria,IDEA_pc_oficina,IDEA_pc_otros,IDEA_pc_residencial,IDEA_pc_trast_parking,IDEA_ind_tienda,IDEA_ind_turismo,IDEA_ind_alimentacion,IDEA_ind_riqueza,IDEA_rent_alquiler,IDEA_unitprice_sale_residential,IDEA_price_sale_residential,IDEA_stock_sale_residential,IDEA_demand_sale_residential,IDEA_unitprice_rent_residential,IDEA_price_rent_residential,IDEA_stock_rent_residential,IDEA_demand_rent_residential,GA_page_views,GA_mean_bounce,GA_exit_rate,TARGET,num_images,piscina,has_image,descr_len,has_description,active_week,diff_precio_zona
10,6028527,Garaje,29.0,0,0,0,0,7000.0,-18.6,1659.27,1908.0,1.15,0.02,0.02,0.24,0.14,0.26,0.32,0.01,0.01,0.01,0.07,0.5,0.41,0.0,1.0,0.0,0.17,4.54,1233.44,159396.88,552.0,49.08,4.5,325.0,27.0,52.01,30,30.0,41.0,74.76,1.0,0,1,138.0,1,43,-0.9984856710473577
11,6028529,Garaje,29.0,0,0,0,0,7800.0,-18.75,1659.27,1908.0,1.15,0.02,0.02,0.24,0.14,0.26,0.32,0.01,0.01,0.01,0.07,0.5,0.41,0.0,1.0,0.0,0.17,4.54,1233.44,159396.88,552.0,49.08,4.5,325.0,27.0,52.01,21,0.0,21.43,148.31,1.0,0,1,138.0,1,45,-0.9983126048813415
12,6028530,Garaje,29.0,0,0,0,0,7800.0,-18.75,1659.27,1908.0,1.15,0.02,0.02,0.24,0.14,0.26,0.32,0.01,0.01,0.01,0.07,0.5,0.41,0.0,1.0,0.0,0.17,4.54,1233.44,159396.88,552.0,49.08,4.5,325.0,27.0,52.01,10,0.0,25.0,19.31,1.0,0,1,138.0,1,41,-0.9983126048813415
13,6028531,Garaje,29.0,0,0,0,0,7800.0,-18.75,1659.27,1908.0,1.15,0.02,0.02,0.24,0.14,0.26,0.32,0.01,0.01,0.01,0.07,0.5,0.41,0.0,1.0,0.0,0.17,4.54,1233.44,159396.88,552.0,49.08,4.5,325.0,27.0,52.01,15,5.0,11.67,178.05,2.0,0,1,138.0,1,36,-0.9983126048813415
14,6028533,Chalet,109.0,1,1,0,0,61900.0,-41.6,1584.15,1572.0,0.99,0.24,0.24,0.11,0.08,0.1,0.22,0.02,0.0,0.0,0.04,0.62,0.31,0.0,0.0,0.0,0.14,4.63,972.55,166656.25,72.0,46.08,6.08,575.0,48.0,0.0,1920,32.8,17.37,64.46,8.0,0,1,1128.0,1,41,-0.9965924475784323
15,6028534,Casa de pueblo,528.91,2,0,0,1,265000.0,-9.25,3219.56,5914.0,1.84,0.16,0.16,0.21,0.14,0.11,0.23,0.01,0.01,0.01,0.06,0.45,0.45,0.6,0.2,0.2,0.16,5.02,896.68,147339.47,1518.0,49.1,5.43,583.77,54.0,51.05,896,30.94,14.94,71.25,10.0,1,1,2027.0,1,46,-0.996599482670498
16,6028539,Casa de pueblo,154.27,2,0,0,0,63700.0,0.0,148.16,828.0,5.59,0.23,0.23,0.06,0.07,0.1,0.32,0.01,0.03,0.02,0.07,0.57,0.3,0.0,0.0,0.0,0.18,5.42,596.81,98434.09,87.0,48.1,4.77,557.7,60.0,0.0,671,18.21,10.71,41.41,5.0,0,1,481.0,1,46,-0.995805188768793
17,6028541,Chalet,217.37,2,0,0,1,130000.0,-9.09,1363.7,1413.0,1.04,0.19,0.19,0.1,0.05,0.13,0.33,0.01,0.01,0.0,0.1,0.49,0.39,0.0,0.0,0.0,0.15,4.17,724.82,131774.19,465.0,48.95,4.34,525.0,6.0,50.41,677,11.64,14.15,62.55,10.0,0,1,940.0,1,46,-0.9954614890082516
18,6028544,Piso,90.32,1,0,0,0,50900.0,-9.11,305.22,1003.0,3.29,0.28,0.28,0.05,0.06,0.09,0.24,0.01,0.0,0.01,0.07,0.44,0.48,0.0,0.0,0.0,0.1,3.88,539.92,102333.29,102.0,48.71,5.25,335.0,6.0,51.79,241,6.52,5.19,45.39,10.0,0,1,775.0,1,46,-0.9944929766670634
19,6028545,Piso,145.42,2,0,0,0,71100.0,-9.08,728.29,1564.0,2.15,0.15,0.15,0.15,0.14,0.11,0.3,0.02,0.02,0.01,0.05,0.41,0.48,0.5,0.0,0.5,0.1,5.42,577.33,124376.93,297.0,48.55,4.77,557.7,60.0,0.0,387,33.44,23.2,88.88,9.0,0,1,919.0,1,46,-0.9960689766136905
20,6028547,Piso,114.7,2,0,1,1,68000.0,-11.799999999999999,414.31,1372.0,3.31,0.27,0.27,0.11,0.14,0.1,0.12,0.01,0.01,0.01,0.05,0.4,0.53,1.0,0.0,0.0,0.12,5.42,564.71,84177.27,621.0,48.6,4.77,557.7,60.0,0.0,251,4.55,5.9,81.24,10.0,0,1,780.0,1,46,-0.9929571140115193
21,6028575,Casa de pueblo,427.0,1,0,0,1,67600.0,-9.99,6191.48,5928.0,0.96,0.21,0.21,0.16,0.07,0.12,0.23,0.02,0.01,0.01,0.03,0.44,0.49,0.33,0.0,0.67,0.12,5.04,641.38,100072.4,246.0,48.51,3.49,292.0,6.0,53.68,295,13.56,16.65,59.07,5.0,0,1,683.0,1,46,-0.9984180071894927
22,6028582,Casa de pueblo,167.0,1,0,0,0,83300.0,-9.06,1900.13,501.0,0.26,0.11,0.11,0.06,0.25,0.14,0.33,0.01,0.02,0.0,0.02,0.64,0.31,0.0,0.0,0.0,0.1,5.31,483.42,82112.5,12.0,48.21,4.59,447.69,45.0,0.0,288,7.84,13.98,39.15,6.0,0,1,811.0,1,46,-0.9939253780458568
23,6028585,Piso,211.0,1,0,0,0,186000.0,0.0,53.44,13140.0,245.86,0.19,0.19,0.28,0.1,0.13,0.12,0.04,0.0,0.02,0.02,0.59,0.33,0.23,0.46,0.31,0.18,3.87,1324.6,174982.81,1575.0,49.58,6.49,578.96,270.0,51.4,129,8.33,26.94,65.4,8.0,0,1,869.0,1,45,-0.9949622675068612
24,6028586,Piso,137.6,1,0,0,0,180000.0,0.0,53.44,13140.0,245.86,0.19,0.19,0.28,0.1,0.13,0.12,0.04,0.0,0.02,0.02,0.59,0.33,0.23,0.46,0.31,0.18,3.87,1324.6,174982.81,1575.0,49.58,6.49,578.96,270.0,51.4,94,0.0,10.95,36.38,7.0,0,1,869.0,1,46,-0.9925241826046586
25,6028590,Chalet,199.4,1,0,0,0,127000.0,-3.05,487.59,626.0,1.28,0.14,0.14,0.05,0.06,0.24,0.37,0.0,0.0,0.0,0.2,0.54,0.25,0.0,0.0,1.0,0.31,2.5,930.14,158143.75,126.0,49.58,4.24,617.0,12.0,53.8,107,9.38,9.11,60.42,10.0,0,1,649.0,1,44,-0.9959725836007014
26,6028594,Piso,90.45,1,0,0,0,84400.0,-3.2099999999999995,101.41,4622.0,45.58,0.01,0.01,0.07,0.14,0.12,0.65,0.01,0.0,0.0,0.06,0.49,0.44,0.8,0.2,0.0,0.17,3.19,1467.64,175983.61,504.0,49.4,4.36,360.62,120.0,51.28,1744,48.78,30.98,102.33,10.0,0,1,1176.0,1,46,-0.9946977322678271
27,6028600,Piso,59.05,2,0,0,0,31500.0,-8.959999999999999,1836.86,306.0,0.17,0.32,0.32,0.13,0.08,0.04,0.1,0.01,0.0,0.0,0.04,0.5,0.45,0.4,0.55,0.05,0.08,5.64,597.88,56910.9,138.0,48.94,4.57,524.14,66.0,0.0,514,17.0,10.91,71.52,10.0,0,1,884.0,1,46,-0.9906266421369759
28,6028601,Piso,42.5,1,0,0,0,28200.0,-9.030000000000001,1836.86,306.0,0.17,0.32,0.32,0.13,0.08,0.04,0.1,0.01,0.0,0.0,0.04,0.5,0.45,0.4,0.55,0.05,0.08,5.64,597.88,56910.9,138.0,48.94,4.57,524.14,66.0,0.0,159,4.35,7.32,59.7,10.0,1,1,874.0,1,45,-0.9883409081254257
29,6028625,Piso,123.76,2,0,0,0,78300.0,-9.06,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,409,20.21,7.96,54.08,10.0,0,1,1073.0,1,44,-0.9921139534018658
30,6028626,Piso,80.27,1,0,0,0,48800.0,-8.959999999999999,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,82,6.25,8.81,65.86,10.0,0,1,1064.0,1,42,-0.9924221773549914
31,6028628,Piso,80.27,1,0,0,0,48400.0,-9.02,1356.92,8300.0,4.26,0.01,0.01,0.1,0.14,0.18,0.46,0.02,0.0,0.0,0.03,0.54,0.39,0.23,0.26,0.2,0.14,5.31,933.06,116817.69,999.0,49.21,4.59,447.69,45.0,51.4,12,10.0,10.0,70.95,10.0,0,1,1064.0,1,22,-0.9948384102343736
32,6028630,Piso,80.72,1,0,0,0,60900.0,-8.97,1356.92,8300.0,4.26,0.01,0.01,0.1,0.14,0.18,0.46,0.02,0.0,0.0,0.03,0.54,0.39,0.23,0.26,0.2,0.14,5.31,933.06,116817.69,999.0,49.21,4.59,447.69,45.0,51.4,8,0.0,10.0,67.0,10.0,0,1,1064.0,1,21,-0.9935415615456121
33,6028631,Piso,79.3,1,0,0,0,48600.0,-9.16,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,17,7.69,30.77,24.92,10.0,0,1,1064.0,1,29,-0.9923609217351256
34,6028639,Chalet,196.72,2,0,0,0,84100.0,0.0,8178.94,11540.0,1.41,0.24,0.24,0.11,0.1,0.09,0.21,0.01,0.0,0.0,0.02,0.55,0.41,0.5,0.25,0.25,0.16,4.89,522.47,71767.93,906.0,47.98,3.06,350.0,9.0,51.84,176,9.72,11.86,68.26,10.0,0,1,948.0,1,46,-0.9940431445715672
35,6028640,Chalet,197.05,2,0,0,0,82400.0,-18.5,8178.94,11540.0,1.41,0.24,0.24,0.11,0.1,0.09,0.21,0.01,0.0,0.0,0.02,0.55,0.41,0.5,0.25,0.25,0.16,4.89,522.47,71767.93,906.0,47.98,3.06,350.0,9.0,51.84,68,3.97,23.51,109.74,10.0,0,1,948.0,1,43,-0.9941733309338775
36,6028645,Piso,114.2,1,0,1,0,74400.0,-10.68,460.69,17455.0,37.89,0.17,0.17,0.15,0.05,0.14,0.32,0.02,0.01,0.0,0.01,0.47,0.5,0.14,0.57,0.29,0.11,6.6,741.41,75059.38,795.0,48.55,5.88,491.06,12.0,51.49,374,21.21,10.86,77.37,5.0,0,1,775.0,1,37,-0.9913203570764594
37,6028649,Casa de pueblo,227.16,1,2,0,0,74200.0,0.0,54446.77,20644.0,0.38,0.15,0.15,0.15,0.16,0.16,0.23,0.03,0.01,0.0,0.02,0.52,0.41,0.0,0.47,0.53,0.14,3.68,690.17,105352.13,768.0,48.77,2.88,408.67,54.0,49.91,689,26.42,11.37,37.23,6.0,0,1,903.0,1,46,-0.9968995214957765
38,6028651,Piso,61.84,1,0,0,1,47400.0,-9.2,1322.09,3183.0,2.41,0.07,0.07,0.06,0.06,0.15,0.59,0.01,0.01,0.01,0.05,0.45,0.47,0.0,0.0,0.0,0.09,5.14,602.07,88864.94,996.0,46.92,2.84,353.57,12.0,49.85,911,12.43,11.47,43.31,8.0,0,1,716.0,1,46,-0.991374616597668
39,6028652,Piso,72.6,2,0,1,1,51800.0,-9.120000000000001,1322.09,3183.0,2.41,0.07,0.07,0.06,0.06,0.15,0.59,0.01,0.01,0.01,0.05,0.45,0.47,0.0,0.0,0.0,0.09,5.14,602.07,88864.94,996.0,46.92,2.84,353.57,12.0,49.85,210,11.11,10.4,33.94,9.0,0,1,1172.0,1,45,-0.9919709772764205
40,6028653,Piso,59.27,1,0,1,1,42800.0,-9.13,1322.09,3183.0,2.41,0.07,0.07,0.06,0.06,0.15,0.59,0.01,0.01,0.01,0.05,0.45,0.47,0.0,0.0,0.0,0.09,5.14,602.07,88864.94,996.0,46.92,2.84,353.57,12.0,49.85,58,0.0,11.27,149.85,9.0,0,1,1168.0,1,43,-0.9918739705905361
41,6028655,Piso,100.26,2,0,1,1,71800.0,-9.11,1322.09,3183.0,2.41,0.07,0.07,0.06,0.06,0.15,0.59,0.01,0.01,0.01,0.05,0.45,0.47,0.0,0.0,0.0,0.09,5.14,602.07,88864.94,996.0,46.92,2.84,353.57,12.0,49.85,48,12.0,14.8,77.75,9.0,0,1,1167.0,1,44,-0.9919412758159387
42,6028656,Piso,86.84,1,0,1,1,65400.0,-9.17,1322.09,3183.0,2.41,0.07,0.07,0.06,0.06,0.15,0.59,0.01,0.01,0.01,0.05,0.45,0.47,0.0,0.0,0.0,0.09,5.14,602.07,88864.94,996.0,46.92,2.84,353.57,12.0,49.85,35,0.0,1.74,12.88,9.0,0,1,1166.0,1,37,-0.991525238566719
43,6028657,Piso,79.53,1,0,0,0,64900.0,-6.21,7888.37,2896.0,0.37,0.25,0.25,0.05,0.06,0.08,0.31,0.01,0.0,0.0,0.02,0.67,0.3,0.5,0.0,0.5,0.13,4.18,966.7,137836.92,558.0,48.75,7.95,450.07,21.0,50.86,1475,33.65,26.14,69.75,8.0,1,1,1137.0,1,45,-0.9940796394752025
44,6028664,Garaje,24.04,0,0,0,0,11000.0,0.0,748.63,4091.0,5.46,0.0,0.0,0.29,0.22,0.17,0.32,0.0,0.02,0.0,0.25,0.55,0.18,0.39,0.18,0.43,0.46,4.42,2098.91,304068.71,3048.0,48.31,7.2,1575.0,162.0,51.63,309,47.97,35.52,56.11,5.0,0,1,523.0,1,32,-0.9984951732933185
45,6028682,Piso,121.43,2,0,0,0,59000.0,-35.160000000000004,15224.04,12183.0,0.8,0.21,0.21,0.21,0.16,0.06,0.15,0.02,0.02,0.01,0.08,0.51,0.37,0.56,0.0,0.44,0.14,5.35,687.39,89623.87,666.0,48.77,3.67,446.43,24.0,51.31,314,14.1,22.63,76.74,10.0,0,1,641.0,1,41,-0.9945787139436687
46,6028683,Piso,121.43,2,0,0,0,59000.0,-35.160000000000004,15224.04,12183.0,0.8,0.21,0.21,0.21,0.16,0.06,0.15,0.02,0.02,0.01,0.08,0.51,0.37,0.56,0.0,0.44,0.14,5.35,687.39,89623.87,666.0,48.77,3.67,446.43,24.0,51.31,83,12.5,23.68,177.93,7.0,0,1,641.0,1,24,-0.9945787139436687
47,6028708,Solar,433.05,0,0,0,0,228000.0,-39.33,584.93,6119.0,10.46,0.04,0.04,0.19,0.1,0.11,0.53,0.02,0.0,0.01,0.03,0.47,0.47,0.33,0.25,0.42,0.1,6.51,914.65,144646.88,780.0,50.17,4.57,653.12,75.0,50.71,115,8.97,25.31,51.58,4.0,0,1,119.0,1,46,-0.9963601144047615
48,6028910,Solar,99.0,0,0,0,0,0.0,0.0,20141.99,4796.0,0.24,0.05,0.05,0.13,0.16,0.16,0.45,0.01,0.0,0.0,0.1,0.52,0.36,0.29,0.47,0.24,0.18,5.17,884.05,126417.65,1827.0,50.06,3.81,537.05,147.0,51.59,241,15.28,18.2,92.82,4.0,0,1,929.0,1,46,-1.0
49,6028916,Trastero,4.03,0,0,0,0,1600.0,0.0,1234.1,2493.0,2.02,0.0,0.0,0.0,0.0,0.11,0.89,0.01,0.0,0.0,0.03,0.49,0.48,0.0,0.0,0.0,0.14,5.55,960.83,181525.88,1470.0,49.24,4.42,620.09,150.0,51.11,20,12.5,14.06,38.63,4.0,0,1,252.0,1,33,-0.9978128609953236
50,6028917,Trastero,3.75,0,0,0,0,1400.0,0.0,1356.92,8300.0,4.26,0.01,0.01,0.1,0.14,0.18,0.46,0.02,0.0,0.0,0.03,0.54,0.39,0.23,0.26,0.2,0.14,5.31,933.06,116817.69,999.0,49.21,4.59,447.69,45.0,51.4,4,0.0,0.0,15.75,4.0,0,1,252.0,1,4,-0.9968041369989996
51,6028926,Garaje,26.74,0,0,0,0,6400.0,0.0,460.08,17800.0,38.69,0.0,0.0,0.05,0.18,0.18,0.58,0.04,0.0,0.0,0.03,0.54,0.39,0.35,0.59,0.06,0.1,5.46,964.07,125045.47,3168.0,49.55,5.29,403.4,255.0,51.59,72,0.0,2.79,17.03,4.0,0,1,180.0,1,44,-0.9980859617703669
52,6028927,Garaje,34.16,0,0,0,0,7400.0,0.0,1356.92,8300.0,4.26,0.01,0.01,0.1,0.14,0.18,0.46,0.02,0.0,0.0,0.03,0.54,0.39,0.23,0.26,0.2,0.14,5.31,933.06,116817.69,999.0,49.21,4.59,447.69,45.0,51.4,11,20.0,20.0,69.2,4.0,0,1,180.0,1,26,-0.9981455922073067
53,6028928,Piso,89.67,2,0,0,0,107000.0,-9.32,460.08,17800.0,38.69,0.0,0.0,0.05,0.18,0.18,0.58,0.04,0.0,0.0,0.03,0.54,0.39,0.35,0.59,0.06,0.1,5.46,964.07,125045.47,3168.0,49.55,5.29,403.4,255.0,51.59,332,8.15,7.76,30.04,7.0,0,1,856.0,1,46,-0.9904573577041833
54,6028929,Piso,121.35,2,0,0,0,109000.0,-9.17,460.08,17800.0,38.69,0.0,0.0,0.05,0.18,0.18,0.58,0.04,0.0,0.0,0.03,0.54,0.39,0.35,0.59,0.06,0.1,5.46,964.07,125045.47,3168.0,49.55,5.29,403.4,255.0,51.59,153,10.53,10.79,71.35,7.0,0,1,857.0,1,44,-0.9928167868428327
55,6028930,Piso,89.67,2,0,0,0,107000.0,-9.32,460.08,17800.0,38.69,0.0,0.0,0.05,0.18,0.18,0.58,0.04,0.0,0.0,0.03,0.54,0.39,0.35,0.59,0.06,0.1,5.46,964.07,125045.47,3168.0,49.55,5.29,403.4,255.0,51.59,21,9.09,12.12,34.49,7.0,0,1,856.0,1,38,-0.9904573577041833
56,6028931,Piso,118.03,2,0,0,0,149000.0,-9.15,460.08,17800.0,38.69,0.0,0.0,0.05,0.18,0.18,0.58,0.04,0.0,0.0,0.03,0.54,0.39,0.35,0.59,0.06,0.1,5.46,964.07,125045.47,3168.0,49.55,5.29,403.4,255.0,51.59,101,32.35,29.25,64.75,7.0,0,1,859.0,1,45,-0.9899045449822106
57,6028932,Garaje,12.12,0,0,0,0,7600.0,0.0,1234.1,2493.0,2.02,0.0,0.0,0.0,0.0,0.11,0.89,0.01,0.0,0.0,0.03,0.49,0.48,0.0,0.0,0.0,0.14,5.55,960.83,181525.88,1470.0,49.24,4.42,620.09,150.0,51.11,30,6.25,16.04,45.6,6.0,0,1,380.0,1,35,-0.9965456016174078
58,6028940,Garaje,58.0,0,0,0,0,12800.0,0.0,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,87,32.35,19.79,25.87,2.0,0,1,143.0,1,45,-0.9972491946920752
59,6028941,Garaje,49.92,0,0,0,0,9800.0,0.0,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,23,14.29,14.29,25.45,2.0,0,1,143.0,1,44,-0.997553025877303
60,6028943,Piso,66.18,1,0,0,1,64700.0,-9.13,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,67,0.0,15.86,56.7,7.0,0,1,879.0,1,42,-0.9878141621353244
61,6028944,Piso,91.59,2,0,0,0,59900.0,-9.1,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,522,14.49,13.07,75.2,8.0,0,1,934.0,1,43,-0.9918481413425388
62,6028945,Piso,91.34,2,0,0,0,60300.0,-9.049999999999999,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,223,19.78,21.11,61.01,9.0,0,1,941.0,1,45,-0.991771244043601
63,6028946,Piso,110.98,2,0,0,0,71000.0,-9.09,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,204,14.02,19.57,98.56,8.0,0,1,941.0,1,45,-0.9920257195426302
64,6028947,Garaje,9.9,0,0,0,0,6500.0,-10.96,989.5,10648.0,10.76,0.0,0.0,0.12,0.13,0.23,0.51,0.03,0.0,0.0,0.03,0.58,0.35,0.2,0.6,0.2,0.2,6.73,697.2,80227.29,1248.0,49.97,4.59,463.5,27.0,51.67,44,0.0,13.64,17.02,4.0,0,1,174.0,1,41,-0.9918161805469728
65,6028951,Piso,55.72,1,0,0,1,49100.0,-10.4,304.97,2131.0,6.99,0.0,0.0,0.06,0.18,0.23,0.53,0.01,0.01,0.0,0.02,0.52,0.43,1.0,0.0,0.0,0.15,6.16,739.83,107041.06,774.0,49.66,3.13,312.17,6.0,53.47,68,0.0,2.94,39.11,10.0,0,1,1304.0,1,37,-0.991767722847205
66,6028952,Piso,73.5,1,0,0,1,54700.0,-10.33,304.97,2131.0,6.99,0.0,0.0,0.06,0.18,0.23,0.53,0.01,0.01,0.0,0.02,0.52,0.43,1.0,0.0,0.0,0.15,6.16,739.83,107041.06,774.0,49.66,3.13,312.17,6.0,53.47,91,5.0,10.33,74.0,10.0,0,1,1326.0,1,41,-0.9930473625067351
67,6028953,Piso,54.31,1,0,0,1,46900.0,-10.33,304.97,2131.0,6.99,0.0,0.0,0.06,0.18,0.23,0.53,0.01,0.01,0.0,0.02,0.52,0.43,1.0,0.0,0.0,0.15,6.16,739.83,107041.06,774.0,49.66,3.13,312.17,6.0,53.47,5,25.0,25.0,37.12,10.0,0,1,1304.0,1,38,-0.9919324319239478
68,6028954,Piso,62.58,1,0,0,1,41400.0,-9.01,304.97,2131.0,6.99,0.0,0.0,0.06,0.18,0.23,0.53,0.01,0.01,0.0,0.02,0.52,0.43,1.0,0.0,0.0,0.15,6.16,739.83,107041.06,774.0,49.66,3.13,312.17,6.0,53.47,131,6.25,26.81,59.13,10.0,0,1,1326.0,1,43,-0.9938196313462443
